fecha,hora,temperatura
21/06/2019,11:07:26,36.31
21/06/2019,11:07:28,36.31
21/06/2019,11:07:30,36.31
21/06/2019,11:07:32,36.31
21/06/2019,11:07:34,36.38
21/06/2019,11:07:36,36.38
21/06/2019,11:07:38,36.38
21/06/2019,11:07:40,36.38
21/06/2019,11:07:42,36.38
21/06/2019,11:07:44,36.38
21/06/2019,11:07:46,36.38
21/06/2019,11:07:48,36.38
21/06/2019,11:07:50,36.38
21/06/2019,11:07:52,36.38
21/06/2019,11:07:54,36.38
21/06/2019,11:07:56,36.38
21/06/2019,11:07:58,36.38
21/06/2019,11:08:00,36.38
21/06/2019,11:08:02,36.38
21/06/2019,11:08:04,36.38
21/06/2019,11:08:06,36.38
21/06/2019,11:08:08,36.38
21/06/2019,11:08:10,36.38
21/06/2019,11:08:12,36.38
21/06/2019,11:08:14,36.38
21/06/2019,11:08:16,36.44
21/06/2019,11:08:18,36.44
21/06/2019,11:08:20,36.44
21/06/2019,11:08:22,36.44
21/06/2019,11:08:24,36.44
21/06/2019,11:08:26,36.44
21/06/2019,11:08:28,36.44
21/06/2019,11:08:30,36.44
21/06/2019,11:08:32,36.44
21/06/2019,11:08:34,36.44
21/06/2019,11:08:36,36.5
21/06/2019,11:08:38,36.5
21/06/2019,11:08:40,36.5
21/06/2019,11:08:42,36.5
21/06/2019,11:08:44,36.5
21/06/2019,11:08:46,36.5
21/06/2019,11:08:48,36.5
21/06/2019,11:08:50,36.5
21/06/2019,11:08:52,36.5
21/06/2019,11:08:54,36.5
21/06/2019,11:08:56,36.5
21/06/2019,11:08:58,36.5
21/06/2019,11:09:00,36.5
21/06/2019,11:09:02,36.5
21/06/2019,11:09:04,36.5
21/06/2019,11:09:06,36.5
21/06/2019,11:09:08,36.5
21/06/2019,11:09:10,36.5
21/06/2019,11:09:12,36.5
21/06/2019,11:09:14,36.5
21/06/2019,11:09:16,36.5
21/06/2019,11:09:18,36.56
21/06/2019,11:09:20,36.5
21/06/2019,11:09:22,36.56
21/06/2019,11:09:24,36.5
21/06/2019,11:09:26,36.56
21/06/2019,11:09:28,36.56
21/06/2019,11:09:30,36.56
21/06/2019,11:09:32,36.56
21/06/2019,11:09:34,36.56
21/06/2019,11:09:36,36.56
21/06/2019,11:09:38,36.56
21/06/2019,11:09:40,36.56
21/06/2019,11:09:42,36.56
21/06/2019,11:09:44,36.56
21/06/2019,11:09:46,36.56
21/06/2019,11:09:48,36.56
21/06/2019,11:09:50,36.56
21/06/2019,11:09:52,36.56
21/06/2019,11:09:54,36.56
21/06/2019,11:09:56,36.63
21/06/2019,11:09:58,36.63
21/06/2019,11:10:00,36.63
21/06/2019,11:10:02,36.63
21/06/2019,11:10:04,36.63
21/06/2019,11:10:06,36.63
21/06/2019,11:10:08,36.63
21/06/2019,11:10:10,36.63
21/06/2019,11:10:12,36.63
21/06/2019,11:10:14,36.63
21/06/2019,11:10:16,36.63
21/06/2019,11:10:18,36.63
21/06/2019,11:10:20,36.63
21/06/2019,11:10:22,36.63
21/06/2019,11:10:24,36.63
21/06/2019,11:10:26,36.63
21/06/2019,11:10:28,36.63
21/06/2019,11:10:30,36.63
21/06/2019,11:10:32,36.63
21/06/2019,11:10:34,36.63
21/06/2019,11:10:36,36.63
21/06/2019,11:10:38,36.63
21/06/2019,11:10:40,36.63
21/06/2019,11:10:42,36.63
21/06/2019,11:10:44,36.63
21/06/2019,11:10:46,36.63
21/06/2019,11:10:48,36.63
21/06/2019,11:10:50,36.63
21/06/2019,11:10:52,36.63
21/06/2019,11:10:54,36.63
21/06/2019,11:10:56,36.63
21/06/2019,11:10:58,36.63
21/06/2019,11:11:00,36.63
21/06/2019,11:11:02,36.63
21/06/2019,11:11:04,36.63
21/06/2019,11:11:06,36.63
21/06/2019,11:11:08,36.69
21/06/2019,11:11:10,36.69
21/06/2019,11:11:12,36.69
21/06/2019,11:11:14,36.69
21/06/2019,11:11:16,36.69
21/06/2019,11:11:18,36.69
21/06/2019,11:11:20,36.69
21/06/2019,11:11:22,36.69
21/06/2019,11:11:24,36.69
21/06/2019,11:11:26,36.69
21/06/2019,11:11:28,36.69
21/06/2019,11:11:30,36.69
21/06/2019,11:11:32,36.75
21/06/2019,11:11:34,36.75
21/06/2019,11:11:36,36.75
21/06/2019,11:11:38,36.69
21/06/2019,11:11:40,36.75
21/06/2019,11:11:42,36.75
21/06/2019,11:11:44,36.75
21/06/2019,11:11:46,36.75
21/06/2019,11:11:48,36.75
21/06/2019,11:11:50,36.75
